Name,Population,Yearly_Change,Net_Change,Density,Land_Area,Median_Age,Urban_Pop
Vanuatu,"342,564",2.21%,"7,395",28,"12,190",20.3,25.5%
Martinique,"337,711",−0.8%,"−2,728",319,"1,060",50.2,–
French Guiana,"318,872",1.66%,"5,206",4,"82,200",24.9,95.2%
New Caledonia,"297,892",0.87%,"2,559",16,"18,280",34.8,76.3%
French Polynesia,"283,076",0.22%,611,77,"3,660",36.7,66.3%
Barbados,"282,724",0.04%,101,657,430,39.7,32.7%
Sao Tome & Principe,"244,994",1.97%,"4,740",255,960,19.7,78.9%
Samoa,"220,528",0.56%,"1,222",78,"2,830",19.8,16.3%
Curaçao,"185,440",−0.03%,−47,418,444,39,81.2%
Saint Lucia,"180,488",0.19%,339,296,610,35.1,20.1%
Guam,"170,185",0.7%,"1,186",315,540,31.6,98.9%
Kiribati,"138,445",1.43%,"1,957",171,810,23,57.9%
Seychelles,"134,959",1.64%,"2,180",293,460,34.6,43.4%
Grenada,"117,362",0.05%,59,345,340,34.9,35.8%
Micronesia,"114,183",0.44%,500,163,700,23.5,23.8%
Aruba,"108,164",0.02%,17,601,180,41.7,45.1%
Tonga,"103,291",−0.43%,−451,143,720,21,26.4%
St. Vincent & Grenadines,"99,245",−0.68%,−679,254,390,34.7,62.6%
Antigua and Barbuda,"94,626",0.44%,417,215,440,36.7,28.6%
Isle of Man,"84,055",−0.07%,−63,147,570,46.3,57.3%
Andorra,"83,753",1.02%,849,178,470,44.2,81.6%
U.S. Virgin Islands,"83,400",−0.88%,−738,238,350,44.9,–
Cayman Islands,"77,196",1.78%,"1,352",322,240,39.1,88.5%
Dominica,"65,511",−0.55%,−360,87,750,36.6,85.6%
Bermuda,"64,459",−0.15%,−96,"1,289",50,46.4,93%
Faeroe Islands,"56,526",0.94%,524,40,"1,396",37.1,39.5%
Greenland,"55,629",−0.21%,−116,0,"410,450",35.5,91.2%
Turks and Caicos,"47,148",0.63%,293,50,950,39.6,80%
Saint Kitts & Nevis,"46,992",0.15%,70,181,260,36.5,39.8%
American Samoa,"45,319",−1.54%,−710,227,200,29.1,–
Sint Maarten,"44,447",1.19%,524,"1,307",34,42,99.6%
Northern Mariana Islands,"42,914",−1.44%,−627,93,460,38.8,–
Gibraltar,"40,867",1.85%,741,"4,087",10,38.8,87.1%
Liechtenstein,"40,368",0.6%,240,252,160,44.7,14.8%
British Virgin Islands,"39,936",0.51%,204,266,150,39.1,43.9%
Monaco,"38,087",−0.66%,−254,"25,562",1,53.1,–
Marshall Islands,"35,075",−3.33%,"−1,207",195,180,20.5,–
San Marino,"33,605",0.1%,33,560,60,49.1,–
Caribbean Netherlands,"31,913",1.83%,575,97,328,39.7,64.9%
Saint Martin,"23,898",−4.18%,"−1,043",451,53,43.9,–
Palau,"17,614",−0.28%,−49,38,460,38.9,–
Anguilla,"14,817",0.6%,89,165,90,39.1,–
Cook Islands,"12,826",−3.29%,−437,53,240,38.1,–
Nauru,"12,101",0.63%,76,605,20,20.2,93.8%
Saint Barthelemy,"11,550",1.19%,136,550,21,39.1,–
Wallis & Futuna,"11,113",−0.72%,−81,79,140,38.6,–
Tuvalu,"9,362",−1.37%,−130,312,30,24.1,89%
Saint Pierre & Miquelon,"5,513",−1.09%,−61,24,230,47.6,–
Saint Helena,"5,147",−0.96%,−50,13,390,51,34.1%
Montserrat,"4,328",−0.71%,−31,43,100,41.8,11.7%
Falkland Islands,"3,465",−0.12%,−4,0,"12,170",43.4,68.4%
Tokelau,"2,691",3.18%,83,269,10,27.6,–
Niue,"1,822",0.05%,1,7,260,35.1,45.2%
Holy See,506,1%,5,"1,265",0,56.2,–
